parser_family,source_pdf,page_start,page_end,section,entry_number,entry_type,authors,year,title,publication_block,commentary,reviews,confidence,segment_warning,raw_text,raw_text_original
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,2,2,BIBLIOGRAPHY,1,monograph,L'Année philologique,1996,"Bibliographie critique et analytique de l'antiquité gréco-latine, 67 [1996]",Paris 1999,,,0.85,publication_tail_city_fallback,"L'Année philologique. Bibliographie critique et analytique de l'antiquité gréco-latine, 67 [1996] Paris 1999.","L'Année philologique. Bibliographie critique et analytique de
l'antiquité gréco-latine, 67 [1996] Paris 1999."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,2,2,BIBLIOGRAPHY,2,monograph,Fabio Cupaiuolo,1996,Bibliografia della metrica latina,Napoli 1996,,"Soubiran, Latomus 57 (1998) 736-737",1.0,,"Fabio Cupaiuolo. Bibliografia della metrica latina. Napoli 1996. Rev: Soubiran, Latomus 57 (1998) 736-737.","Fabio Cupaiuolo. Bibliografia della metrica latina. Napoli
1996. Rev: Soubiran, Latomus 57 (1998) 736-737."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,2,3,BIBLIOGRAPHY,3,monograph,Philip Hardie,1998,Virgil. Greece & Rome New Surveys in the Classics,Oxford 1998,,"Feeney, JACTRev (1999) 28. Vergilius 45 (1999) 77-1 10. 78 Alexander G. McKay",1.0,,"Philip Hardie. Virgil. Greece & Rome New Surveys in the Classics. Oxford 1998. Rev: Feeney, JACTRev (1999) 28. Vergilius 45 (1999) 77-1 10. 78 Alexander G. McKay","Philip Hardie. Virgil. Greece & Rome New Surveys in the
Classics. Oxford 1998. Rev: Feeney, JACTRev (1999) 28.
Vergilius 45 (1999) 77-1 10.
78 Alexander G. McKay"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,BIBLIOGRAPHY,4,monograph,Jürgen Malitz,1998,Gnomon. Bibliographi Internationales Informationssystem f Altertumswissenschaft,Viertes Up-da München 1998,,,1.0,,Jürgen Malitz. Gnomon. Bibliographi Internationales Informationssystem f Altertumswissenschaft. Viertes Up-da München 1998.,"Jürgen Malitz. Gnomon. Bibliographi
Internationales Informationssystem f
Altertumswissenschaft. Viertes Up-da
München 1998."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,BIBLIOGRAPHY,5,monograph,,1997,G. Laguna Mariscal and A. Ramirez de Verger. Bibliografìa selecta de autores latinos,Madrid 1997,,,0.7,,G. Laguna Mariscal and A. Ramirez de Verger. Bibliografìa selecta de autores latinos. Madrid 1997.,"G. Laguna Mariscal and A. Ramirez de Verger. Bibliografìa
selecta de autores latinos. Madrid 1997."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,BIBLIOGRAPHY,6,journal_article,Alexander G,1997,"McKay, ""Vergilian Bibliography 1997-1998,"" Vergilius 44 (",1998) 85-109,,,0.85,publication_tail_year_fallback,"Alexander G. McKay, ""Vergilian Bibliography 1997-1998,"" Vergilius 44 (1998) 85-109.","Alexander G. McKay, ""Vergilian Bibliography 1997-1998,""
Vergilius 44 (1998) 85-109."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,BIBLIOGRAPHY,7,monograph,G. Whittaker,1999,A Bibliographical Guide to Classical Studies,"Vol. 1. Accius to Aristophanes; 2. Aristotle to Fulgentius. Hildesheim, Zurich, New York 1999. Rev. Koster, AAHG 51 (1998) 226-228",,,1.0,,"G. Whittaker. A Bibliographical Guide to Classical Studies. Vol. 1. Accius to Aristophanes; 2. Aristotle to Fulgentius. Hildesheim, Zurich, New York 1999. Rev. Koster, AAHG 51 (1998) 226-228.","G. Whittaker. A Bibliographical Guide to Classical Studies.
Vol. 1. Accius to Aristophanes; 2. Aristotle to Fulgentius.
Hildesheim, Zurich, New York 1999. Rev. Koster, AAHG 51
(1998) 226-228."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,8,edited_volume,J. N. Adams | R. G. Mayer,1999,Aspects of the Language of Latin Poetry. PBA 93 (,1999). [PPBA],,,0.85,publication_tail_year_fallback,"J. N. Adams and R. G. Mayer, eds. Aspects of the Language of Latin Poetry. PBA 93 (1999). [PPBA].","J. N. Adams and R. G. Mayer, eds. Aspects of the Language of
Latin Poetry. PBA 93 (1999). [PPBA]."
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,9,monograph,Susan Morton Braund | Christopher Gill,1997,The Passions in Roman Thought and Literature,Cambridge 1997,,"Wallace, G&R 45 (1998) 106-107; Armstrong, BMCR 9 (1998) 615-620. [PASSIONS]",1.0,,"Susan Morton Braund and Christopher Gill. The Passions in Roman Thought and Literature. Cambridge 1997. Rev: Wallace, G&R 45 (1998) 106-107; Armstrong, BMCR 9 (1998) 615-620. [PASSIONS]","Susan Morton Braund and Christopher Gill. The Passions in
Roman Thought and Literature. Cambridge 1997. Rev:
Wallace, G&R 45 (1998) 106-107; Armstrong, BMCR 9
(1998) 615-620. [PASSIONS]"
enumerated_robust_segments_tailclassifier_entryfix3,45 (1999) - McKay.pdf,3,3,LEXICA AND COLLECTIONS,10,monograph,Frederick E,1999,Brenk. Clothed in Purple Light,"Studies in Vergil and in Latin Literature, including Aspects of Philosophy, Religion, Magic, Judaism, and the New Testament Background. Stuttgart 1999",,,1.0,,"Frederick E. Brenk. Clothed in Purple Light. Studies in Vergil and in Latin Literature, including Aspects of Philosophy, Religion, Magic, Judaism, and the New Testament Background. Stuttgart 1999.","Frederick E. Brenk. Clothed in Purple Light. Studies in Vergil
and in Latin Literature, including Aspects of Philosophy,
Religion, Magic, Judaism, and the New Testament
Background. Stuttgart 1999."
