filename,pages,parser_family,avg_chars_per_page,avg_lines_per_page,numbered_line_ratio,section_header_count,detected_sections,has_bibliography,probable_ocr_quality,notes
10 (1964) - McKay.pdf,6,narrative,2337.83,38.5,0.0087,4,"['AENEID', 'BIBLIOGRAPHY', 'COLLECTED ADDRESSES', 'TEXTS AND TRANSLATIONS']",True,excellent,[]
11 (1965) - McKay.pdf,9,enumerated,2548.22,35.33,0.1698,7,"['ADDENDA', 'ECLOGUES AND GEORGIOS', 'GENERAL STUDIES', 'IUSSU IMP CAE SARIS DIVI F', 'PRAEF FABR CAESARIS DIVI F', 'TEXTS AND TRANSLATIONS', 'THE AENEID']",True,excellent,[]
12 (1966) - McKay.pdf,8,narrative,2503.5,69.25,0.0054,6,"['AENEID', 'APPENDIX VERGILIANA, VITAE', 'ECLOGUES', 'GENERAL STUDIES, REVIEWS, TRANSLATIONS', 'GEORGICS', 'VERGILIUS']",True,excellent,[]
13 (1967) - McKay.pdf,8,enumerated,2090.38,39.38,0.1714,6,"['AENEID', 'APPEND', 'BIBLIOGRAPHY', 'ECLOGUES', 'GENERAL STUDIES, TRANSLATIONS, CLASSICAL TRADITION,', 'GEORGICS']",True,excellent,[]
14 (1968) - McKay.pdf,13,narrative,2008.62,41.08,0.0075,7,"['AENEID', 'BIBLIOGRAPHY', 'ECLOGUES', 'GENERAL STUDIES, TRANSLATIONS, CLASSICAL TRADITION,', 'GEORGICS', 'VERGILIAN', 'VERGILIUS']",True,excellent,[]
15 (1969) - McKay.pdf,12,narrative,2269.17,42.83,0.0058,10,"['ADDENDA', 'AENEID', 'APPENDIX VERGILIANA, SERVIUS', 'BIBLIOGRAPHY', 'ECLOGUES', 'GENERAL STUDIES, TRANSLATIONS, CLASSICAL TRADITION, ARCHAEOLOGY', 'GEORGICS', 'INTRODUCTION', 'VERGILIAN', 'VERGILIUS']",True,excellent,[]
16 (1970) - McKay.pdf,8,narrative,2702.25,50.5,0.0,10,"['AENEID', 'ANNOUNCEMENT', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES', 'GENERAL STUDIES, CLASSICAL TRADITION, ARCHAEOLOGY', 'GEORGICS', 'INTRODUCTION', 'VERGILIAN', 'VERGILIUS']",True,excellent,[]
17 (1971) - McKay.pdf,10,narrative,2848.5,50.4,0.0,8,"['AENEID', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'ECLOGUES', 'GEORGICS', 'INTRODUCTION', 'VERGILIAN', 'VERGILIUS']",True,excellent,[]
18 (1972) - McKay.pdf,16,narrative,5450.69,132.56,0.0264,6,"['AENEID', 'APPENDIX VERGILIANA', 'ECLOGUES', 'GEORGICS', 'QUESTUS EQUINUS', 'VERGILIUS']",True,excellent,[]
19 (1973) - McKay.pdf,9,enumerated,1449.22,37.89,0.2375,8,"['ADDENDA', 'AENEID', 'APPENDIX VERGILIANA', 'ECLOGUES', 'GENERAL', 'GEORGIOS', 'VERGILI AN BIBLIOG', 'VERGILIUS']",True,excellent,[]
20 (1974) - McKay.pdf,13,enumerated,2556.46,55.85,0.0895,14,"['AENEID', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT COMMENTATORS', 'APPENDIX VERGILIANA', 'BOOK REVIEWS', 'ECLOGUES', 'GEORGICS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'STYLE, LANGUAGE, METER', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND HIS MILIEU', 'VERGIL AND LATER AGES', 'VERGILIUS']",True,excellent,[]
21 (1975) - McKay.pdf,10,enumerated,7051.7,171.6,0.1783,20,"['AENEID: GENERAL STUDIES', 'AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'AENEID: INDIVIDUAL BOOKS', 'AENEID: RELIGION AND PHILOSOPHY', 'AENEID: STRUCTURE ,', 'ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT COMMENTATORS', 'APPENDIX VERGILIANA', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'GEORG ICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'STYLE, LANGUAGE, METRE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIUS']",True,excellent,[]
22 (1976) - McKay.pdf,12,enumerated,7440.92,169.83,0.1649,25,"['ANCIENT AUTHORS AFTER VERGIL', 'ANCIENT COMMENTATORS', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'STYLE, LANGUAGE, METER', 'THE AENEID: CHARACTERS', 'THE AENEID: GENERAL STUDIES', 'THE AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'THE AENEID: INDIVIDUAL BOOKS', 'THE STRUCTURE OF THE AENEID', 'THE TROJAN LEGEND', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', ""VERGIL'S LIFE AND WORKS"", 'VERGILIUS']",True,excellent,[]
23 (1977) - McKay.pdf,16,enumerated,2662.44,61.38,0.1507,25,"['ANCIENT AUTHORS AFTER VERGIL', 'APPENDIX VERGILIANA', 'BIBLIOGRAPHY', 'COMPUTER STUDIES', 'ECLOGUES: GENERAL STUDIES', 'ECLOGUES: INDIVIDUAL POEMS', 'EDITIONS, TRANSLATIONS', 'GEORGICS: GENERAL STUDIES', 'GEORGICS: INDIVIDUAL BOOKS', 'INTERPRETATION AND TEXT CRITICISM', 'LEIPZIG', 'MANUSCRIPTS', 'RELIGION AND PHILOSOPHY', 'ROME AND AUGUSTUS', 'STYLE, LANGUAGE, METRE', 'THE AENEID: CHARACTERS', 'THE AENEID: GENERAL STUDIES', 'THE AENEID: GEOGRAPHY AND ARCHAEOLOGY', 'THE AENEID: INDIVIDUAL BOOKS', 'THE TROJAN LEGEND', 'THESAURUS LINGUAE LATINAE', 'VERGIL AND EARLIER WRITERS', 'VERGIL AND LATER AGES', 'VERGIL AND OTHER AUGUSTAN POETS', 'VERGILIUS']",True,excellent,[]
